143 52,0 /
425 113,0 +
585 5,1 *
30 10,1 *
217 16,1 *
616 20,1 *
447 78,1 *
973 124,1 *
210 1,2 *
639 26,2 *
541 32,2 $
830 46,2 *
912 61,2 $
743 74,2 *
828 101,2 &
671 106,2 #
760 7,3 *
737 38,3 -
949 50,3 *
568 55,3 &
87 117,3 +
535 122,3 *
794 130,3 *
616 11,4 $
373 24,4 *
999 28,4 *
853 42,4 *
666 65,4 *
365 81,4 =
807 97,4 *
680 1,5 #
800 20,5 *
684 38,5 @
960 72,5 *
186 76,5 *
725 87,5 *
631 111,5 @
700 119,5 *
818 123,5 *
402 13,6 -
956 63,6 *
237 95,6 *
490 102,6 &
998 129,6 +
624 8,7 -
600 20,7 /
283 27,7 %
906 32,7 *
301 51,7 -
495 73,7 =
917 81,7 /
165 86,7 *
193 91,7 *
977 4,8 +
610 43,8 *
489 96,8 *
795 100,8 *
545 116,8 @
915 121,8 *
641 137,8 @
123 11,9 $
113 31,9 *
643 39,9 *
117 54,9 $
483 58,9 /
961 83,9 *
984 87,9 *
878 108,9 -
277 131,9 *
787 18,10 @
80 23,10 @
802 64,10 /
591 72,10 $
228 99,10 $
848 120,10 *
810 27,11 $
740 40,11 +
902 57,11 /
201 83,11 *
993 111,11 *
268 6,12 *
429 16,12 *
582 44,12 *
538 61,12 *
789 65,12 *
941 90,12 %
136 96,12 $
334 104,12 -
508 123,12 *
250 129,12 *
745 12,13 *
77 33,13 *
653 51,13 *
491 113,13 *
192 134,13 #
978 7,14 *
26 23,14 +
957 29,14 *
400 42,14 *
834 55,14 *
85 60,14 #
429 69,14 #
291 100,14 +
690 119,14 #
69 125,14 *
814 128,14 *
276 3,15 *
571 13,15 *
65 36,15 *
765 74,15 *
179 84,15 @
460 110,15 -
577 9,16 =
50 43,16 =
758 47,16 *
52 64,16 @
821 2,17 *
676 16,17 *
227 27,17 *
273 59,17 /
789 73,17 *
288 82,17 @
226 96,17 *
592 126,17 *
943 135,17 *
378 88,18 #
876 101,18 #
497 105,18 &
575 115,18 *
524 6,19 *
353 17,19 *
664 28,19 *
781 37,19 *
108 46,19 /
124 67,19 $
407 83,19 *
272 94,19 *
43 98,19 *
421 109,19 @
708 119,19 *
405 133,19 *
769 21,20 *
432 63,20 *
57 76,20 $
887 125,20 *
637 129,20 /
96 16,21 *
700 38,21 *
573 51,21 /
644 67,21 $
802 80,21 *
798 89,21 *
897 93,21 *
456 103,21 *
130 112,21 =
182 117,21 *
420 21,22 *
369 42,22 %
121 59,22 *
916 75,22 #
637 121,22 *
816 132,22 *
911 3,23 *
97 9,23 &
990 15,23 *
557 37,23 #
355 63,23 %
578 80,23 *
764 91,23 *
872 95,23 %
80 107,23 *
792 115,23 *
517 128,23 *
609 21,24 -
675 28,24 %
657 44,24 *
728 53,24 *
446 67,24 *
963 74,24 #
201 86,24 *
232 103,24 *
576 111,24 *
116 121,24 *
630 132,24 *
801 2,25 *
352 15,25 *
422 57,25 *
538 82,25 %
435 98,25 *
730 125,25 *
952 37,26 *
283 42,26 *
931 50,26 *
95 68,26 *
617 73,26 *
215 87,26 *
174 94,26 *
139 106,26 *
375 117,26 *
755 131,26 *
426 135,26 %
972 10,27 *
82 20,27 &
854 54,27 /
208 64,27 *
853 78,27 %
941 122,27 *
975 4,28 +
58 35,28 *
836 44,28 /
899 48,28 *
682 86,28 @
952 97,28 =
193 108,28 *
13 118,28 *
757 12,29 *
453 38,29 $
603 60,29 =
735 64,29 *
155 73,29 *
402 91,29 *
954 104,29 #
530 121,29 *
285 42,30 /
596 56,30 /
681 113,30 *
162 128,30 *
517 132,30 %
589 5,31 *
451 20,31 %
268 29,31 *
764 71,31 &
476 77,31 *
206 91,31 *
860 97,31 *
123 101,31 *
812 109,31 *
97 117,31 *
319 120,31 *
139 124,31 *
981 25,32 *
288 33,32 *
917 40,32 *
666 47,32 +
532 82,32 @
330 105,32 *
764 6,33 *
952 57,33 *
498 63,33 #
473 69,33 +
98 89,33 -
885 112,33 &
788 119,33 =
508 13,34 *
439 17,34 *
956 25,34 *
799 34,34 *
122 38,34 *
786 43,34 =
214 73,34 *
63 93,34 &
346 107,34 *
507 125,34 /
252 3,35 *
780 7,35 *
446 60,35 *
900 81,35 *
540 85,35 *
169 11,36 -
328 33,36 *
506 37,36 *
573 56,36 /
367 76,36 *
646 95,36 *
896 99,36 *
815 105,36 *
691 111,36 =
141 129,36 %
195 19,37 %
606 23,37 @
908 48,37 *
67 62,37 *
49 65,37 *
707 80,37 *
607 89,37 #
902 2,38 *
742 14,38 -
706 30,38 &
355 35,38 &
953 44,38 *
811 53,38 -
125 71,38 @
490 76,38 %
241 84,38 #
468 104,38 *
512 121,38 %
463 8,39 @
802 18,39 *
260 22,39 &
711 49,39 *
360 98,39 +
811 117,39 %
113 1,40 *
861 41,40 %
999 45,40 *
458 55,40 -
334 76,40 %
924 80,40 %
425 85,40 %
184 103,40 #
712 123,40 *
176 136,40 %
166 9,41 *
689 15,41 %
124 19,41 *
550 29,41 *
840 33,41 *
742 59,41 *
26 108,41 *
546 119,41 *
665 130,41 #
159 25,42 *
879 49,42 @
48 69,42 $
987 89,42 *
751 98,42 *
